kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 77.31, validation_accuracy = 65.5, test_accuracy = 63.85
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 79.37, validation_accuracy = 65.83, test_accuracy = 64.7
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 74.93, validation_accuracy = 67.67, test_accuracy = 65.3
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 71.28, validation_accuracy = 64.17, test_accuracy = 62.3
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 80.61, validation_accuracy = 66.17, test_accuracy = 62.3
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 76.41, validation_accuracy = 68.83, test_accuracy = 64.55
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 78.57, validation_accuracy = 67.5, test_accuracy = 64.55
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 82.33, validation_accuracy = 67.17, test_accuracy = 66.45
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 77.89, validation_accuracy = 68.5, test_accuracy = 66.75
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 81.81, validation_accuracy = 65.0, test_accuracy = 63.7
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 79.8, validation_accuracy = 66.0, test_accuracy = 63.7
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 86.56, validation_accuracy = 65.83, test_accuracy = 67.05
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 77.28, validation_accuracy = 66.0, test_accuracy = 64.15
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 75.46, validation_accuracy = 62.67, test_accuracy = 63.75
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 79.44, validation_accuracy = 66.0, test_accuracy = 65.85
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 1, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 82.09, validation_accuracy = 66.33, test_accuracy = 65.9
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 74.48, validation_accuracy = 65.17, test_accuracy = 63.5
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 70.0, validation_accuracy = 66.17, test_accuracy = 64.3
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 78.2, validation_accuracy = 66.5, test_accuracy = 64.45
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 69.65, validation_accuracy = 64.17, test_accuracy = 63.35
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 74.09, validation_accuracy = 65.67, test_accuracy = 64.75
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 77.81, validation_accuracy = 65.0, test_accuracy = 64.7
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 65.81, validation_accuracy = 63.17, test_accuracy = 60.45
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 75.17, validation_accuracy = 67.67, test_accuracy = 64.55
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 76.09, validation_accuracy = 63.17, test_accuracy = 64.8
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 72.94, validation_accuracy = 64.83, test_accuracy = 64.25
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 78.52, validation_accuracy = 66.67, test_accuracy = 65.6
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 77.93, validation_accuracy = 64.83, test_accuracy = 65.25
kernel_numbers: [16, 32, 64], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 83.81, validation_accuracy = 65.17, test_accuracy = 66.6
kernel_numbers: [16, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 76.83, validation_accuracy = 63.5, test_accuracy = 66.0
kernel_numbers: [16, 32, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 71.24, validation_accuracy = 64.0, test_accuracy = 62.5
kernel_numbers: [32, 64, 128], kernel_size: 3, strides: 2, padding: same, activation: relu, pooling_app: max, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 87.28, validation_accuracy = 69.5, test_accuracy = 69.05
kernel_numbers: [16, 32, 64], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 74.22, validation_accuracy = 67.5, test_accuracy = 65.75
kernel_numbers: [16, 64, 128], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 70.19, validation_accuracy = 66.0, test_accuracy = 64.75
kernel_numbers: [16, 32, 128], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 82.37, validation_accuracy = 64.17, test_accuracy = 66.0
kernel_numbers: [32, 64, 128], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 128, dropout_enable: False, train_accuracy = 78.98, validation_accuracy = 68.33, test_accuracy = 66.5
kernel_numbers: [16, 32, 64], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 75.61, validation_accuracy = 65.83, test_accuracy = 66.55
kernel_numbers: [16, 64, 128], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 74.22, validation_accuracy = 64.83, test_accuracy = 63.15
kernel_numbers: [16, 32, 128], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 79.2, validation_accuracy = 68.17, test_accuracy = 67.4
kernel_numbers: [32, 64, 128], kernel_size: 5, strides: 1, padding: same, activation: relu, pooling_app: avg, pool_size: 2, hidden_layer: 256, dropout_enable: False, train_accuracy = 71.69, validation_accuracy = 66.67, test_accuracy = 63.4
